Name,Team,Position,PA,EV,HH%,wOBA,xwOBA,Trend,playerElo
Luis Avilan,New York Mets,RP,127,85.1,22.1,0.335,0.34,38,1040.6311584553928
Hunter Harvey,Baltimore Orioles,RP,23,90.7,33.3,0.328,0.287,40,1039.6311584553928
Kohl Stewart,Minnesota Twins,RP,93,88.7,39.7,0.349,0.353,36,1038.6311584553928
Carlos Estevez,Colorado Rockies,SP,286,90.5,39.2,0.324,0.311,59,1038.6311584553928
Wei-Chung Wang,Pittsburgh Pirates,RP,120,86.5,26.4,0.302,0.308,-11,1038.6311584553928
Robert Stephenson,Cincinnati Reds,RP,236,86.5,26.7,0.269,0.25,82,1037.6311584553928
Pat Neshek,Philadelphia Phillies,RP,78,87.1,33.8,0.352,0.376,1,1037.6311584553928
Jace Fry,Chicago White Sox,RP,224,88.9,41.6,0.333,0.338,8,1037.6311584553928
Michael Feliz,Pittsburgh Pirates,RP,212,86.8,33.3,0.29,0.275,47,1037.6311584553928
Tim Melville,Colorado Rockies,SP,85,88.6,30.9,0.328,0.334,7,1037.6311584553928
Alex Young,Arizona Diamondbacks,SP,268,86.9,31.7,0.273,0.296,61,1036.6311584553928
Diego Castillo,Tampa Bay Rays,RP,256,86.9,31.6,0.3,0.258,-6,1036.6311584553928
Jared Hughes,Philadelphia Phillies,RP,247,88.8,35.1,0.324,0.323,-4,1036.6311584553928
